Designator,Mid X,Mid Y,Layer,Rotation
d_lmeye,-82.55mm,3.429mm,Top,180
d_moon,-66.548mm,68.707mm,Top,180
d_rstar,-42.291mm,15.875mm,Top,270
d_rrtray,-43.434mm,-5.969mm,Top,0
d_rmeye,-50.419mm,3.556mm,Top,180
d_llbray,-99.441mm,-13.716mm,Top,180
d_ceye,-66.548mm,3.429mm,Top,180
d_rbeye,-59.69mm,-4.826mm,Top,0
d_cray,-66.421mm,-18.161mm,Top,90
d_rtray,-54.483mm,-12.446mm,Top,90
d_ltray,-78.486mm,-12.319mm,Top,180
d_lltray,-89.662mm,-6.096mm,Top,270
d_lstar,-90.297mm,16.002mm,Top,270
d_rrbray,-33.401mm,-13.843mm,Top,270
d_rbray,-48.895mm,-21.717mm,Top,180
d_lbray,-84.201mm,-21.844mm,Top,180
d_rteye,-59.182mm,11.176mm,Top,0
d_lbeye,-72.644mm,-5.08mm,Top,0
d_lteye,-73.533mm,11.303mm,Top,0
c_moon,-66.294mm,63.881mm,Top,0
c_lstar,-95.123mm,15.748mm,Top,90
c_lteye,-73.533mm,16.383mm,Top,180
c_rteye,-59.055mm,16.129mm,Top,180
c_rstar,-36.703mm,15.494mm,Top,90
c_lmeye,-82.55mm,8.001mm,Top,0
c_ceye,-66.802mm,7.874mm,Top,0
c_rmeye,-50.546mm,-1.016mm,Top,0
c_lltray,-93.853mm,-6.35mm,Top,90
c_lbeye,-71.628mm,-9.271mm,Top,180
c_rbeye,-61.214mm,-9.144mm,Top,180
c_rrtray,-43.18mm,-10.541mm,Top,180
c_rrbray,-49.276mm,-26.289mm,Top,0
c_rbray,-28.448mm,-14.478mm,Top,90
c_rtray,-49.784mm,-12.7mm,Top,270
c_cray,-61.468mm,-18.288mm,Top,270
c_ltray,-78.74mm,-16.891mm,Top,0
c_lbray,-84.455mm,-26.543mm,Top,0
c_llbray,-99.568mm,-18.796mm,Top,0
