,,,,,,,,
,,,xxxx xxxx xxxxx xxPCS BOM  (Sample Bill of Materials),,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint ,Type,Your Instructions / Notes
1,U1,1,Linear,LTC3780EG#PBF,IC BUCK-BOOST CONV 24-SSOP,24-SSOP,SMD,
2,"U2,U4",2,Fairchild,LM2904M,IC OPAMP DUAL -40-85 C 8-SOIC,8-SOIC,,DNS/DNP/DNI
3,U3,1,ON,LM317MBDTG,LM317M IC REG VOLT ADJ 500MA DPAK,DPAK,SMD,
4,U5,1,Microchip,PIC16F690-I/SS,IC PIC MCU FLASH 4KX14 20SSOP,20SSOP,SMD,
5,Q1,1,Diodes Inc,GBJ10005-F,RECT BRIDGE GPP 50V 10A GBJ,GBJ,SMD,
6,"R14,R18",2,Panasonic,ERJ-6ENF4701V,RES 4.70K OHM 1/8W 1% 0805 SMD,0805,SMD,
7,R15,1,Susumu,RL3720WT-R022-F,RES .022 OHM 1W 1% 0815 SMD,0815,SMD,
8,"R16, R31",2,Panasonic,ERJ-6ENF4702V,RES 47.0K OHM 1/8W 1% 0805 SMD,0805,SMD,
9,C5,1,Murata,GRM21BR71C225KA12L,CAP CER 2.2UF 16V X7R 0805,0805,SMD,
10,C7,1,Murata,GRM21BR71C475KA73L,CAP CER 4.7UF 16V X7R 0805,0805,,DNS/DNP/DNI
11,"C8,C22",2,Muruta,GRM21BR71C105KA01L,CAP CER 1.0UF 16V 10% X7R 0805,0805,SMD,
12,CN6,1,Molex,538-53398-0671,1.25mm Connectors VERTICAL HDR SMT 6P,SMT 6P,SMD,
13,"L1,L2",2,Coiltronics,DR127-150-R,INDUCTOR SHIELD PWR 15UH SMD,SMD,SMD,
14,L3,1,TDK,ACM1211-102-2PL-TL,CHOKE COMM MODE 1000 OHM 6A SM,SMD,SMD,
15,"CN3,CN4",2,Molex,53047-0510,CONN HEADER 5POS 1.25MM VERT TIN,5POS,thru-hole,
,,,,,,,,
,,,,,,,,
Need a quick and accurante quote? Need an efficient production? Please read SMT Ordering Necessary Files & Info in 1 minute. Thank you very much!,,,,,,,,
,,,,,,,,
Click for Instructions on How to Create a BOM,,,,,,,,
